TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;35.578.672/0001-63;TREND ETF NASDAQ 100 CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE  LIMITADA;2025-02-28;857946;696703098.92;COTAS DE FUNDOS;;S;;1528.78;196119.12;3956.00;508040.37;2427.21;313488.81;;;;;;PJ;45823842000181;XP CASH B1 CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES -  RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES FIIM;35.578.672/0001-63;TREND ETF NASDAQ 100 CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE  LIMITADA;2025-02-28;857946;696703098.92;COTAS DE FUNDOS;;S;;1965.37;282835.73;27.29;3926.87;0.00;0.00;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;OUTRAS APLICAÇÕES;Recibo de subscrição;N;Para negociação;0.00;0.00;0.00;0.00;2117.00;216759.63;;;;Recibo - KNCR13;;PJ;16706958000132;KINEA RENDIMENTOS IMOBILI?RIOS FDO INV I;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;624.00;24623.56;173.00;6848.66;6392.00;252292.24;;;;;;PJ;8924783000101;BTG PACTUAL CORPORATE OFFICE FUND - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;720.00;65094.60;190.00;17468.17;8201.00;753261.85;;;;;;PJ;26502794000185;XP Log Fundo de Investimento Imobiliário - FII;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;74.00;11234.78;18.00;2715.20;847.00;127575.14;;;;;;PJ;8706065000169;HOTEL MAXINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;348.00;25224.78;93.00;7053.97;3922.00;304033.44;;;;;;PJ;24853044000122;VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;324.00;8867.07;85.00;2365.84;3694.00;104244.68;;;;;;PJ;37087810000137;DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;2844.00;26266.71;769.00;7215.07;20118.00;192529.26;;;;;;PJ;26614291000100;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;;;;;;;
CLASSES FIIM;36.046.508/0001-78;TREND ETF IFIX-L  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-02-28;857966;30200751.64;COTAS DE FUNDOS;;N;;2148.00;7969.08;581.00;2180.57;24294.00;93288.96;;;;;;PJ;32903702000171;SANTANDER RENDA DE ALUGUÉIS FUNDO DE INVESTIMENTO IMOBILIÁRIO- FII;;;;;;;
