TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;40.952.802/0001-16;TREND ETF MSCI US TECHNOLOGY FUNDO DE INVESTIMENTO DE ÍNDICE;2024-08-31;731918;242463091.93;COTAS DE FUNDOS;;S;;666.36;91195.65;695.19;95356.29;600.88;82705.32;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;42.101.885/0001-65;TREND ETF CRSP U.S. LARGE CAP FUNDO DE INVESTIMENTO DE ÍNDICE;2024-08-31;731912;444249375.92;COTAS DE FUNDOS;;S;;522.56;71548.97;718.80;98709.60;788.34;108506.99;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;44.702.829/0001-01;BTG PACTUAL TEVA TESOURO IPCA ULTRA LONGO CE FUNDO DE ÍNDICE;2024-08-31;732162;248203246.35;OPERAÇÕES COMPROMISSADAS;;N;Mantido até o vencimento;;;;;216.00;3287692.12;;;;;2027-03-01;;;;;210100;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;DISPONIBILIDADES;Outros;;Para negociação;;;;;;11917.73;;;;EXTERIOR CAIXA;;PJ;4423567000121;*** A Definir ***;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;34.35;;;;IR S/RESGATE IR;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;950829.30;;;;COTAS   A RESGATAR;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;2000.00;;;;TX ESCRT FIX PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;35417.84;;;;FORMADOR DE MERCADO;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;52100.68;;;;TAXA GEST?O PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-08-31;734492;94811750.43;VALORES A PAGAR;Outros;;Para negociação;;;;;;7213.05;;;;TX ESCRT VAR PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
