TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO SPIN RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8513064.30;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;252041913.56;;2024-10-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1550793.12;;2024-10-29;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;222413901.82;;2024-10-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2846.71;;2024-10-29;SDP;DI1 X PRE
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4163729.67;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;7851592.10;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;CAIXA RV 30 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1490448.17;;;Outros;999 X 999
FI;03.919.474/0001-20;BANESTES  FMP - FGTS  PETROBRAS;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;31564892.04;;2024-10-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1640260.24;;2024-10-29;SBP;TBF X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;179467064.54;;2024-10-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;22509739.93;;2024-10-29;SDC;DI1 X DOL
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;23847501.58;;2024-10-29;SBD;SB1 X DI1
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;55528009.06;;2024-10-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;41074442.84;;2024-10-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;57692954.66;;2024-10-29;SBD;SB1 X DI1
FI;04.573.108/0001-24;BARRA VELHA II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;483362.60;;;SDL;DI1 X IAP
FI;04.894.428/0001-86;BANESTES FMP-FGTS VALE DO RIO DOCE;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;4479653.80;;;SDE;DI1 X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1015848154.49;;;Outros;999 X 999
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;70658331.69;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;809373141.46;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;335605600.42;;;SCP;DOL X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;128344088.14;;;SDE;DI1 X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;348618666.66;;;SEP;REU X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;166696215.79;;;Outros;999 X 999
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;266545290.28;;;SEP;REU X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;17459393.64;;;SCP;DOL X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6281420.00;;;SDE;DI1 X REU
FI;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;27910.99;;2024-10-29;SDC;DI1 X DOL
FI;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;387801526.52;;2024-10-29;Outros;999 X 999
FI;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;494653812.07;;2024-10-29;Outros;999 X 999
FI;07.364.774/0001-40;FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO VIENA RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;379685.20;;2024-10-29;SDL;DI1 X IAP
FI;07.664.177/0001-31;CAIXA MASTER ESTRATEGICO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;199058.92;;;Outros;999 X 999
FI;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;33877635.72;;;SCE;DOL X REU
FI;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;56448225.82;;;SCE;DOL X REU
FI;08.771.962/0001-56;OITI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;348601734.75;;;SCP;DOL X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;628657277.51;;2024-10-29;SEP;REU X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;168821262.86;;2024-10-29;SDP;DI1 X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;370715646.24;;2024-10-29;Outros;999 X 999
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1601298576.91;;2024-10-29;SCP;DOL X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;40679.16;;2024-10-29;SCE;DOL X REU
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;451076885.90;;2024-10-29;SDC;DI1 X DOL
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;401341406.86;;2024-10-29;SDE;DI1 X REU
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;78510368.92;;2024-10-29;SDL;DI1 X IAP
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1034830750.18;;2024-10-29;SEP;REU X PRE
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;513922224.70;;2024-10-29;Outros;999 X 999
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;72441915.86;;2024-10-29;SDE;DI1 X REU
FI;08.771.975/0001-25;BNP PARIBAS PROPRIETÁRIO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-07-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;904921351.37;;2024-10-29;SCP;DOL X PRE
