TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA  NILO - RESPONSABILIDADE LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3309099.23;;;SDL;DI1 X IAP
CLASSES - FIF;31.552.281/0001-19;HHH FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;104495.81;;;SDP;DI1 X PRE
CLASSES - FIF;34.687.399/0001-42;VINLAND ATIVO MASTER FIF RENDA FIXA LONGO PRAZO - RESP LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5192.54;;2025-01-29;SDP;DI1 X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;6972533.53;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;424330.85;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;939260.52;;;SDP;DI1 X PRE
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;445680.00;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;7865.59;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;38.443.120/0001-36;WELLINGTON ASIA TEC ADV CLA ACOES IE RP;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1726821.36;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;38.443.120/0001-36;WELLINGTON ASIA TEC ADV CLA ACOES IE RP;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;85842.74;;2025-01-29;SCP;DOL X PRE
CLASSES - FIF;38.860.913/0001-50;BRAM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDIT;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;244808.70;;2025-01-29;Outros;999 X 999
CLASSES - FIF;42.120.343/0001-30;CAIXA MASTER CAPITAL PROTEGIDO CICLICO II FIF MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2965910.07;;;SDP;DI1 X PRE
CLASSES - FIF;44.814.776/0001-10;STONES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;952928.83;;2025-01-29;SDP;DI1 X PRE
CLASSES - FIF;53.113.637/0001-50;LIBERO 2 ESTRUTURADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;122005.21;;2025-01-29;SDP;DI1 X PRE
CLASSES - FIF;53.244.479/0001-78;NAUTILUS FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2024-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;56555610.49;;2025-01-29;SCP;DOL X PRE
