TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;36.532.178/0001-20;SANTANDER PB CHRONOS MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;609639.18;;;SDP;DI1 X PRE
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;21882.73;;;Outros;999 X 999
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;10669.49;;;Outros;999 X 999
CLASSES - FIF;37.553.464/0001-35;TREND BOLSAS GLOBAIS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;60240.17;;;Outros;999 X 999
CLASSES - FIF;37.553.464/0001-35;TREND BOLSAS GLOBAIS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3744.99;;;Outros;999 X 999
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;199201.48;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;101915.34;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.428.156/0001-40;J CHINA EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR - RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;525825.05;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.428.156/0001-40;J CHINA EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR - RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;534678.78;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.443.120/0001-36;WELLINGTON ASIA TEC ADV CLA ACOES IE RP;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;704062.97;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.443.120/0001-36;WELLINGTON ASIA TEC ADV CLA ACOES IE RP;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;508501.79;;2025-05-29;SCP;DOL X PRE
CLASSES - FIF;38.860.913/0001-50;BRAM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDIT;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;66344.00;;2025-05-29;Outros;999 X 999
CLASSES - FIF;39.227.204/0001-03;TREND BOLSAS EUROPEIAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;24996.54;;;Outros;999 X 999
CLASSES - FIF;39.227.204/0001-03;TREND BOLSAS EUROPEIAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;334217.00;;;Outros;999 X 999
CLASSES - FIF;39.774.017/0001-31;CAIXA MASTER CAPITAL PROTEGIDO BOLSA DE VALORES IV FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5400993.92;;;SDP;DI1 X PRE
CLASSES - FIF;40.212.817/0001-48;TREND COMMODITIES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;289867.86;;;Outros;999 X 999
CLASSES - FIF;40.212.817/0001-48;TREND COMMODITIES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;68512.46;;;Outros;999 X 999
