TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;22.013.978/0001-20;SANTANDER PB TAORMINA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;569104.58;;2025-03-31;SDP;DI1 X PRE
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1740240.77;;2025-03-31;Outros;999 X 999
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;570713.16;;2025-03-31;Outros;999 X 999
CLASSES - FIF;34.246.474/0001-30;SANTANDER PB YALETOWN AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2343085.56;;2025-03-31;SDL;DI1 X IAP
CLASSES - FIF;34.687.399/0001-42;VINLAND ATIVO MASTER FIF RENDA FIXA LONGO PRAZO - RESP LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;9203.61;;2025-03-31;SDP;DI1 X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5597783.59;;2025-03-31;SCP;DOL X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;182949.91;;2025-03-31;SCP;DOL X PRE
CLASSES - FIF;35.609.786/0001-23;TREND OURO DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;4603509.69;;2025-03-31;Outros;999 X 999
CLASSES - FIF;35.717.740/0001-28;TREND BOLSA CHINESA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;117822.74;;2025-03-31;Outros;999 X 999
CLASSES - FIF;35.717.740/0001-28;TREND BOLSA CHINESA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA;2024-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;92.78;;2025-03-31;Outros;999 X 999
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2168145.19;;;SDP;DI1 X PRE
