TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;22.013.978/0001-20;SANTANDER PB TAORMINA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;535106.68;;2025-05-01;SDP;DI1 X PRE
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1909246.66;;2025-05-01;Outros;999 X 999
CLASSES - FIF;34.687.399/0001-42;VINLAND ATIVO MASTER FIF RENDA FIXA LONGO PRAZO - RESP LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7613.32;;2025-05-01;SDP;DI1 X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;369780.27;;2025-05-01;SCP;DOL X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2976077.46;;2025-05-01;SCP;DOL X PRE
CLASSES - FIF;35.609.786/0001-23;TREND OURO DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;328099.67;;2025-05-01;Outros;999 X 999
CLASSES - FIF;35.609.786/0001-23;TREND OURO DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;234220.01;;2025-05-01;Outros;999 X 999
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1716839.92;;;SDP;DI1 X PRE
CLASSES - FIF;35.819.455/0001-18;MACADÂMIA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-01-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;30994577.82;;;SCP;DOL X PRE
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;46683.49;;2025-05-01;Outros;999 X 999
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-01-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5265.37;;2025-05-01;Outros;999 X 999
