TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;40.952.802/0001-16;TREND ETF MSCI US TECHNOLOGY FUNDO DE INVESTIMENTO DE ÍNDICE;2024-09-30;751418;235428497.76;COTAS DE FUNDOS;;S;;647.87;89404.85;594.69;82190.63;547.70;75974.41;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;42.101.885/0001-65;TREND ETF CRSP U.S. LARGE CAP FUNDO DE INVESTIMENTO DE ÍNDICE;2024-09-30;751411;451106616.02;COTAS DE FUNDOS;;S;;473.33;65310.30;477.60;66039.19;792.61;109947.00;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;44.702.829/0001-01;BTG PACTUAL TEVA TESOURO IPCA ULTRA LONGO CE FUNDO DE ÍNDICE;2024-09-30;755708;243662779.82;OPERAÇÕES COMPROMISSADAS;;N;Mantido até o vencimento;;;;;78.00;73290.72;;;;;2025-04-01;;;;;100000;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;DISPONIBILIDADES;Outros;;Para negociação;;;;;;3035.35;;;;EXTERIOR CAIXA;;PJ;4423567000121;*** A Definir ***;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;1000.00;;;;Ajuste Cota;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;1173.37;;;;AUDITORIA PROVISAO;;PJ;4423567000121;*** A Definir ***;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;46485.91;;;;FORMADOR DE MERCADO;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;9024.70;;;;TX ESCRT VAR PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;56395.81;;;;TAXA GEST?O PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;58.01;;;;IR S/RESGATE IR;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-09-30;752650;100854090.79;VALORES A PAGAR;Outros;;Para negociação;;;;;;10284.08;;;;TAXA ADM PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
