TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;542880.89;;2025-06-29;Outros;999 X 999
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;16714930.50;;2025-06-29;Outros;999 X 999
CLASSES - FIF;13.107.003/0001-70;PASCAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;105603939.70;;2025-06-29;Outros;999 X 999
CLASSES - FIF;14.239.657/0001-10;CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1849840.77;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3383648.92;;;Outros;999 X 999
CLASSES - FIF;22.013.952/0001-82;SANTANDER PB AMÉRICA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1453883.16;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;22.013.978/0001-20;SANTANDER PB TAORMINA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;540048.34;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2885411.66;;2025-06-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;9370648829.94;;2025-06-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;67235647.01;;2025-06-29;SLP;IAP X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;616107641.79;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2902160809.70;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4026479.10;;2025-06-29;SNP;IND X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8979702.85;;2025-06-29;SDE;DI1 X REU
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;17279873.89;;2025-06-29;SEP;REU X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;201517393.93;;2025-06-29;SLP;IAP X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;4129778203.42;;2025-06-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2529640973.59;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3963273368.35;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;83609899.36;;2025-06-29;Outros;999 X 999
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;246617974.31;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;18057929.13;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;94872796.07;;2025-06-29;Outros;999 X 999
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;825762687.79;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6874508.29;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;24.018.842/0001-39;SCORPIO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;6874508.29;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;24.018.842/0001-39;SCORPIO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;26784614.57;;2025-06-29;SDL;DI1 X IAP
CLASSES - FIF;26.507.065/0001-11;SANTANDER PB MOGADOURO MULTIMERCADO - FIF;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;996965.78;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;28.194.713/0001-52;SANTANDER PB SERENGETI MULTIMERCADO - FIF;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;653078.66;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;34.687.399/0001-42;VINLAND ATIVO MASTER FIF RENDA FIXA LONGO PRAZO - RESP LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7630.25;;2025-06-29;SDP;DI1 X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;299954.57;;2025-06-29;SCP;DOL X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3900951.03;;2025-06-29;SCP;DOL X PRE
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1686613.89;;;SDP;DI1 X PRE
CLASSES - FIF;35.819.455/0001-18;MACADÂMIA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;31451908.84;;;SCP;DOL X PRE
CLASSES - FIF;36.532.178/0001-20;SANTANDER PB CHRONOS MULTIMERCADO CRÉDITO PRIVADO - FIF;2025-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;599835.48;;;SDP;DI1 X PRE
