TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO SPIN RESPONSABILIDADE LIMITADA;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8417611.28;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1850029.24;;2024-09-28;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;315939748.65;;2024-09-28;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2873.49;;2024-09-28;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;200477580.37;;2024-09-28;Outros;999 X 999
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;20607608.86;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;CAIXA RV 30 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESPONSABILIDADE LIMITADA;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;524294.41;;;Outros;999 X 999
FI;03.919.474/0001-20;BANESTES  FMP - FGTS  PETROBRAS;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;32081352.06;;2024-09-28;SDL;DI1 X IAP
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1565231.08;;2024-09-28;SBP;TBF X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;168172520.72;;2024-09-28;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;18623720.24;;2024-09-28;SDC;DI1 X DOL
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8046598.36;;2024-09-28;SBD;SB1 X DI1
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;55074441.23;;2024-09-28;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2024-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;31035150.93;;2024-09-28;SDL;DI1 X IAP
