TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA  NILO - RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3050185.91;;;SDL;DI1 X IAP
CLASSES - FIF;31.552.281/0001-19;HHH FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;88048.98;;;SDP;DI1 X PRE
CLASSES - FIF;34.687.399/0001-42;VINLAND ATIVO MASTER FIF RENDA FIXA LONGO PRAZO - RESP LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7272.02;;2025-02-28;SDP;DI1 X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;11586532.78;;2025-02-28;SCP;DOL X PRE
CLASSES - FIF;35.556.444/0001-92;WELLINGTON VENTURA ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES IE - RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1081966.54;;2025-02-28;SCP;DOL X PRE
CLASSES - FIF;35.803.219/0001-03;G5 MONACO CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1390056.24;;;SDP;DI1 X PRE
CLASSES - FIF;35.819.455/0001-18;MACADÂMIA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;29927334.03;;;SCP;DOL X PRE
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;24764.31;;2025-02-28;Outros;999 X 999
CLASSES - FIF;37.396.932/0001-05;TREND HIGH YIELD AMERICANO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;13667.68;;2025-02-28;Outros;999 X 999
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;994623.38;;2025-02-28;SCP;DOL X PRE
CLASSES - FIF;38.077.221/0001-30;WELLINGTON EUROPEAN EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES  IE  RESP LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;245735.39;;2025-02-28;SCP;DOL X PRE
CLASSES - FIF;38.428.156/0001-40;J CHINA EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR - RESP LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3353169.30;;2025-02-28;SCP;DOL X PRE
CLASSES - FIF;38.428.156/0001-40;J CHINA EQUITY ADVISORY CLASSE DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR - RESP LIMITADA;2024-11-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;240521.53;;2025-02-28;SCP;DOL X PRE
